iter	Passed	Remaining
399	52526	78790
400	52658	78659
401	52780	78514
402	52915	78389
403	53047	78258
404	53177	78124
405	53300	77981
406	53432	77850
407	53566	77723
408	53700	77596
409	53831	77464
410	53963	77334
411	54089	77195
412	54213	77053
413	54341	76918
414	54473	76787
415	54611	76665
416	54743	76536
417	54869	76397
418	55009	76278
419	55143	76150
420	55275	76020
421	55401	75881
422	55534	75752
423	55666	75622
424	55793	75485
425	55926	75356
426	56048	75212
427	56176	75077
428	56308	74946
429	56441	74817
430	56569	74682
431	56701	74552
432	56833	74422
433	56963	74289
434	57095	74158
435	57220	74019
436	57345	73879
437	57477	73749
438	57608	73618
439	57738	73484
440	57877	73364
441	58012	73238
442	58143	73105
443	58271	72970
444	58417	72858
445	58546	72723
446	58683	72599
447	58811	72463
448	58948	72339
449	59078	72206
450	59212	72078
451	59337	71940
452	59475	71817
453	59605	71683
454	59740	71557
455	59869	71422
456	59997	71287
457	60122	71149
458	60260	71026
459	60394	70897
460	60525	70766
461	60652	70629
462	60792	70508
463	60919	70372
464	61051	70241
465	61184	70112
466	61310	69975
467	61439	69841
468	61569	69709
469	61701	69578
470	61830	69444
471	61963	69315
472	62102	69192
473	62228	69055
474	62356	68920
475	62483	68784
476	62611	68649
477	62736	68511
478	62864	68376
479	62998	68248
480	63129	68116
481	63262	67987
482	63387	67849
483	63516	67715
484	63644	67581
485	63769	67443
486	63904	67316
487	64035	67184
488	64167	67054
489	64303	66928
490	64432	66794
491	64562	66661
492	64690	66527
493	64827	66402
494	64960	66272
495	65084	66133
496	65224	66012
497	65353	65878
498	65487	65749
499	65619	65619
500	65746	65484
501	65878	65353
502	66007	65219
503	66135	65085
504	66261	64949
505	66400	64825
506	66531	64694
507	66665	64565
508	66797	64435
509	66928	64304
510	67060	64172
511	67194	64044
512	67324	63912
513	67457	63783
514	67588	63651
515	67721	63521
516	67854	63391
517	67988	63262
518	68119	63132
519	68246	62996
520	68382	62869
521	68517	62741
522	68652	62614
523	68789	62487
524	68927	62362
525	69063	62236
526	69198	62108
527	69335	61981
528	69466	61850
529	69595	61716
530	69720	61579
531	69856	61452
532	69978	61313
533	70112	61184
534	70236	61047
535	70371	60919
536	70500	60785
537	70628	60650
538	70755	60516
539	70885	60383
540	71020	60255
541	71148	60122
542	71281	59991
543	71414	59862
544	71549	59734
545	71681	59603
546	71807	59467
547	71933	59332
548	72066	59202
549	72198	59071
550	72323	58935
551	72451	58801
552	72578	58666
553	72707	58533
554	72835	58399
555	72963	58266
556	73099	58138
557	73235	58011
558	73363	57877
559	73495	57746
560	73619	57609
561	73746	57475
562	73877	57343
563	74007	57211
564	74138	57079
565	74264	56944
566	74394	56812
567	74516	56674
568	74643	56540
569	74769	56405
570	74902	56274
571	75038	56148
572	75170	56016
573	75295	55881
574	75425	55749
575	75549	55612
576	75692	55490
577	75820	55357
578	75950	55224
579	76091	55101
580	76229	54974
581	76364	54845
582	76495	54714
583	76630	54586
584	76759	54453
585	76888	54320
586	77019	54189
587	77148	54056
588	77286	53930
589	77416	53798
590	77554	53671
591	77682	53538
592	77826	53415
593	77962	53287
594	78090	53154
595	78223	53023
596	78354	52892
597	78486	52761
598	78611	52626
599	78739	52492
600	78878	52366
601	79005	52232
602	79131	52098
603	79257	51963
604	79388	51831
605	79512	51696
606	79637	51561
607	79766	51428
608	79896	51296
609	80031	51167
610	80164	51037
611	80293	50904
612	80429	50776
613	80555	50642
614	80690	50513
615	80818	50380
616	80944	50246
617	81072	50113
618	81209	49985
619	81334	49850
620	81464	49718
621	81595	49587
622	81730	49458
623	81861	49326
624	81988	49192
625	82121	49063
626	82249	48929
627	82376	48796
628	82505	48663
629	82636	48532
630	82769	48402
631	82903	48273
632	83030	48139
633	83168	48011
634	83295	47878
635	83429	47749
636	83565	47620
637	83694	47488
638	83820	47354
639	83946	47220
640	84074	47086
641	84204	46955
642	84341	46827
643	84479	46699
644	84616	46571
645	84748	46440
646	84875	46307
647	85008	46177
648	85135	46043
649	85268	45913
650	85405	45785
651	85540	45656
652	85670	45524
653	85807	45396
654	85943	45268
655	86082	45140
656	86217	45011
657	86352	44882
658	86477	44748
659	86606	44615
660	86741	44486
661	86876	44356
662	87005	44224
663	87143	44096
664	87273	43965
665	87404	43833
666	87531	43700
667	87665	43570
668	87797	43439
669	87925	43306
670	88060	43177
671	88200	43050
672	88336	42921
673	88476	42794
674	88605	42662
675	88735	42529
676	88873	42401
677	89001	42268
678	89132	42137
679	89260	42004
680	89387	41871
681	89515	41738
682	89646	41607
683	89774	41474
684	89907	41344
685	90039	41213
686	90171	41082
687	90304	40952
688	90430	40818
689	90559	40686
690	90688	40554
691	90818	40421
692	90946	40289
693	91075	40157
694	91204	40025
695	91331	39891
696	91466	39762
697	91606	39634
698	91739	39504
699	91874	39374
700	92006	39243
701	92135	39111
702	92268	38981
703	92400	38850
704	92529	38717
705	92667	38589
706	92798	38458
707	92927	38325
708	93062	38196
709	93192	38064
710	93329	37935
711	93460	37804
712	93590	37672
713	93724	37542
714	93855	37410
715	93987	37279
716	94113	37146
717	94244	37015
718	94375	36884
719	94512	36754
720	94642	36623
721	94780	36494
722	94905	36360
723	95033	36228
724	95164	36097
725	95301	35967
726	95428	35834
727	95559	35703
728	95691	35572
729	95821	35440
730	95946	35307
731	96070	35173
732	96199	35041
733	96332	34910
734	96468	34781
735	96598	34649
736	96733	34519
737	96864	34388
