iter	RMSE
399	1478294.05
400	1475967.146
401	1474241.401
402	1472411.452
403	1469506.063
404	1466573.078
405	1466288.192
406	1464491.607
407	1462582.433
408	1460952.23
409	1460189.749
410	1457196.05
411	1455366.768
412	1454317.09
413	1453577.475
414	1451850.901
415	1449853.547
416	1448230.556
417	1446659.481
418	1444598.804
419	1441986.41
420	1439474.873
421	1437119.845
422	1434818.361
423	1433111.088
424	1432116.359
425	1430876.501
426	1427732.344
427	1426720.395
428	1426447.14
429	1424532.097
430	1422197.798
431	1419404.179
432	1417436.554
433	1415332.741
434	1413192.705
435	1411750.403
436	1409810.948
437	1407685.721
438	1405610.548
439	1403727.731
440	1401282.151
441	1399377.933
442	1396813.402
443	1396050.08
444	1394884.562
445	1392661.743
446	1390523.46
447	1388422.703
448	1386028.036
449	1384153.91
450	1383378.54
451	1380955.548
452	1379862.692
453	1377821.502
454	1375995.549
455	1374929.147
456	1373355.808
457	1372093.15
458	1370720.746
459	1369036.975
460	1366656.252
461	1365201.393
462	1363619.926
463	1362411.654
464	1360500.71
465	1359173.186
466	1357598.597
467	1356056.337
468	1354824.038
469	1352873.436
470	1350065.492
471	1348050.126
472	1346441.735
473	1344627.315
474	1343292.086
475	1340933.142
476	1339350.299
477	1336129.257
478	1333901.994
479	1333135.433
480	1331657.281
481	1330188.845
482	1329521.948
483	1327144.599
484	1326972.401
485	1325478.604
486	1323570.331
487	1321468.751
488	1320178.666
489	1318768.072
490	1317544.82
491	1316313.876
492	1314431.965
493	1313424.568
494	1311607.334
495	1310180.077
496	1308587.495
497	1306970.338
498	1306443.656
499	1306104.971
