iter	Passed	Remaining
140	8172	20808
141	8247	20792
142	8326	20786
143	8390	20744
144	8456	20703
145	8522	20664
146	8583	20613
147	8642	20555
148	8701	20498
149	8756	20431
150	8811	20364
151	8871	20310
152	8938	20272
153	9002	20225
154	9067	20182
155	9127	20127
156	9195	20090
157	9261	20046
158	9330	20011
159	9405	19986
160	9466	19933
161	9543	19911
162	9604	19856
163	9674	19821
164	9750	19796
165	9824	19768
166	9891	19724
167	9946	19655
168	10007	19601
169	10069	19545
170	10128	19487
171	10188	19430
172	10257	19388
173	10322	19339
174	10380	19278
175	10451	19241
176	10517	19192
177	10582	19143
178	10647	19093
179	10711	19041
180	10779	18997
181	10847	18952
182	10918	18913
183	10998	18888
184	11074	18856
185	11139	18805
186	11208	18760
187	11272	18708
188	11337	18656
189	11397	18596
190	11455	18532
191	11511	18466
192	11575	18413
193	11652	18379
194	11707	18312
195	11769	18254
196	11850	18226
197	11922	18185
198	12004	18157
199	12089	18133
200	12167	18100
201	12232	18046
202	12303	18000
203	12369	17947
204	12440	17902
205	12500	17840
206	12563	17782
207	12623	17720
208	12693	17673
209	12758	17619
210	12823	17563
211	12882	17500
212	12957	17458
213	13053	17445
214	13118	17389
215	13202	17359
216	13270	17306
217	13347	17266
218	13418	17217
219	13501	17183
220	13566	17126
221	13636	17076
222	13718	17039
223	13801	17004
224	13882	16967
225	13966	16932
226	14046	16893
227	14116	16840
228	14181	16782
229	14245	16723
230	14308	16661
231	14366	16596
232	14425	16530
233	14485	16466
234	14546	16403
235	14622	16356
236	14680	16290
237	14742	16229
238	14817	16180
239	14878	16118
240	14941	16057
241	15009	16001
242	15074	15942
243	15143	15888
244	15208	15829
245	15269	15766
246	15329	15701
247	15402	15650
248	15480	15604
249	15551	15551
250	15620	15495
251	15689	15440
252	15762	15388
253	15830	15331
254	15902	15278
255	15973	15224
256	16038	15164
257	16101	15103
258	16170	15046
259	16236	14987
260	16291	14918
261	16355	14857
262	16415	14793
263	16474	14726
264	16533	14661
265	16593	14597
266	16654	14534
267	16714	14469
268	16773	14403
269	16832	14338
270	16898	14279
271	16956	14213
272	17018	14150
273	17082	14089
274	17138	14022
275	17200	13960
276	17261	13896
277	17322	13833
278	17381	13768
279	17445	13706
280	17499	13638
281	17565	13578
282	17627	13516
283	17682	13448
284	17751	13391
285	17809	13326
286	17869	13262
287	17933	13200
288	18002	13144
289	18066	13082
290	18129	13020
291	18188	12956
292	18251	12894
293	18329	12843
294	18394	12782
295	18458	12721
296	18516	12656
297	18580	12594
298	18646	12534
299	18704	12469
300	18763	12404
301	18819	12338
302	18880	12275
303	18939	12210
304	19014	12156
305	19074	12092
306	19130	12026
307	19188	11961
308	19251	11899
309	19314	11837
310	19376	11775
311	19438	11712
312	19500	11650
313	19561	11587
314	19617	11521
315	19673	11455
316	19733	11391
317	19795	11329
318	19847	11261
319	19910	11199
320	19969	11135
321	20021	11067
322	20082	11004
323	20138	10939
324	20205	10880
325	20271	10819
326	20337	10759
327	20394	10694
328	20459	10633
329	20528	10575
330	20586	10510
331	20647	10447
332	20729	10395
333	20793	10334
334	20854	10271
335	20915	10208
336	20979	10147
337	21043	10086
338	21108	10025
339	21182	9968
340	21242	9904
341	21308	9844
342	21371	9782
343	21431	9718
344	21496	9657
345	21556	9594
346	21616	9531
347	21676	9467
348	21734	9403
349	21798	9342
350	21863	9281
351	21930	9220
352	22003	9163
353	22072	9103
354	22150	9047
355	22224	8989
356	22294	8930
357	22357	8868
358	22429	8809
359	22487	8745
360	22547	8681
361	22613	8620
362	22670	8556
363	22727	8491
364	22790	8429
365	22854	8367
366	22912	8303
367	22969	8238
368	23029	8175
369	23098	8115
370	23163	8054
371	23224	7991
372	23284	7928
373	23345	7865
374	23406	7802
375	23462	7737
376	23521	7674
377	23576	7609
378	23639	7547
379	23699	7484
380	23757	7420
381	23821	7358
382	23881	7295
383	23941	7232
384	24001	7169
385	24060	7105
386	24126	7044
387	24189	6982
388	24253	6920
389	24310	6856
390	24375	6795
391	24430	6730
392	24492	6668
393	24553	6605
394	24622	6545
395	24690	6484
396	24762	6424
397	24822	6361
398	24883	6298
399	24942	6235
400	25006	6173
401	25086	6115
402	25151	6053
403	25221	5993
404	25297	5933
405	25353	5869
406	25420	5808
407	25482	5745
408	25539	5682
409	25597	5618
410	25663	5557
411	25734	5496
412	25799	5434
413	25865	5373
414	25927	5310
415	25990	5247
416	26051	5185
417	26114	5123
418	26177	5060
419	26241	4998
420	26302	4935
421	26366	4873
422	26431	4811
423	26493	4748
424	26555	4686
425	26613	4623
426	26683	4561
427	26740	4498
428	26798	4435
429	26855	4371
430	26913	4308
431	26975	4246
432	27032	4182
433	27093	4120
434	27155	4057
435	27211	3994
436	27276	3932
437	27353	3871
438	27412	3808
439	27471	3746
440	27526	3682
441	27585	3619
442	27641	3556
443	27696	3493
444	27755	3430
445	27821	3368
446	27876	3305
447	27932	3242
448	27991	3179
449	28052	3116
450	28111	3054
451	28172	2991
452	28232	2929
453	28294	2866
454	28362	2805
455	28428	2743
456	28494	2681
457	28556	2618
458	28616	2556
459	28683	2494
460	28744	2431
461	28807	2369
462	28864	2306
463	28919	2243
464	28982	2181
465	29040	2118
466	29100	2056
467	29164	1994
468	29223	1931
469	29286	1869
470	29344	1806
471	29407	1744
472	29466	1682
473	29522	1619
474	29577	1556
475	29636	1494
476	29692	1431
477	29750	1369
478	29806	1306
479	29869	1244
480	29923	1181
481	29981	1119
482	30038	1057
483	30100	995
484	30154	932
485	30211	870
486	30270	808
487	30335	745
488	30390	683
489	30444	621
490	30502	559
491	30563	496
492	30618	434
493	30678	372
494	30732	310
495	30786	248
496	30837	186
497	30897	124
498	30953	62
499	31010	0
